"","tag","year","L","K","doy_ip","r","theta","a","b"
"844",121221,2012,114.211105129858,114.417245945832,105.298867190275,0.546931639307935,8.44184646064815,114.211105240452,114.407651190931
"845",121221,2013,111.691489513375,115.719244818867,-3.49175052424658,0.00128179620224718,1.78387022938247,114.407471680401,114.612385182337
"846",121221,2014,117.096899775651,117.372305936579,181.358643420018,8.64413628677289,-6.60963119147807,117.372419336368,117.372305936579
"847",121221,2015,117.348188607028,117.821541303817,121.713741906975,0.0901141692646304,0.315094388272892,117.350600455809,117.82125057894
"848",121221,2016,117.877049721667,118.094685072032,201.26544056571,0.148893473843329,82.6384798059372,117.878130893574,118.094685071916
"849",121221,2017,117.869694349915,118.594785884794,184.937515379578,0.0446308830853701,7.78012418164498,118.0214869,118.59181162482
"850",121221,2018,118.483487194214,118.836500708304,211.475097053204,0.052729710455017,4.02232348018762,118.484221289863,118.832595690774
"851",121221,2019,118.685310632567,119.382817911588,173.973654702117,0.0249729699245038,1.3294602072303,118.781753878831,119.354996497296
"852",90612,2011,521.194831889767,528.948859408212,215.876447158153,0.0197766867476464,6.32081925563809,523.7,528.8616712864
"853",90612,2012,526.070187444296,532.168477557192,180.96876656448,0.025050639289938,11.3951889323205,528.783173091835,532.156922241235
"854",90612,2013,531.859752388802,535.962028357566,167.828349451023,0.0398511374284473,1.77691459672697,532.13048931863,535.951061815816
"855",90612,2014,551.464442610095,556.670517361889,172.18288709452,0.0361808868313309,2.16939177996174,551.99918276157,556.647085724854
"856",90612,2015,555.938389720397,561.109325977086,178.207415772279,0.0304198027427264,3.21210418392053,556.6051286,561.076536869285
"857",90612,2016,559.585571081121,565.904019371544,246.066017677129,0.0220091859395213,11.0538554565227,561.440563883635,565.733056440211
"858",90612,2017,564.194651362209,569.924865044225,185.431303480275,0.0284139793100391,4.87632089828254,566.204528636428,569.890539752117
"859",90612,2018,569.898548097218,574.39360004245,165.502656958746,0.0411980547387693,1.72890245131592,570.142724888938,574.387388201662
"860",90612,2019,573.526428086301,578.833461740625,172.630190957838,0.03406308910964,3.45839822503239,574.4467781,578.718234306045
"861",30343,2014,594.957525448909,601.574470656856,170.056748960578,0.0225974059118707,14.6297070753292,600.031414968193,601.541487508736
"862",30343,2015,601.388956992599,602.28320289767,164.431307362499,0.0536907508201563,2.61250227739657,601.4301886,602.253339076892
"863",121305,2011,728.125451264033,733.965539212183,177.636912032948,0.0242167103980387,3.96298594234371,729.8,733.942396440857
"864",121305,2012,734.151810188554,737.857950780926,203.906207598178,0.0242345424207104,3.91188386500656,734.695852586101,737.773257388266
"865",121305,2013,737.352867233473,741.608980102802,195.027448876337,0.0303208254871053,3.04692326815275,737.757361885613,741.5525968
"866",121305,2014,753.151299809122,758.136623967939,184.419001158739,0.028668867490301,2.42271285212085,753.800601865236,758.062859106899
"867",121305,2015,753.021087551177,770.032105003482,204.697386004117,0.00809397685449662,1.13183954793842,757.876038192933,765.266700220239
"868",121305,2016,762.250191027063,767.72214271336,203.401487241437,0.0200624891930493,3.72780401973923,763.924640195168,767.495148595353
"869",121305,2017,767.557924807922,770.804430275749,192.423250001589,0.0266931488494099,3.13879837387756,768.362831284494,770.769548661093
"870",121305,2018,771.050014309827,773.81022708641,186.781714036879,0.045527110474322,6.42121078686396,771.123878598975,773.801469540485
"871",121305,2019,775.068649198442,778.618015952095,190.96435094006,0.0327225146383762,1.85246908887713,775.256655934212,778.500130381388
"872",110788,2011,620.609877804076,623.886668245589,173.006979795992,0.0598095686711617,1.85880515363414,620.900298960355,623.886620952697
"873",110788,2012,623.576075845107,627.138846429786,169.198781546842,0.0725523055853198,1.95383743068532,623.588257344451,627.138364107132
"874",110788,2013,626.686602980492,630.939547491068,192.806028513744,0.0632312333032004,3.13137465961033,626.757873972901,630.862548707714
"875",110788,2014,638.051305442748,642.342853949689,173.068488545898,0.0679846610764707,0.736786606100878,638.079954752934,642.341812908369
"876",110788,2015,641.915928353164,645.714317424714,181.16942527981,0.0661809259025263,1.98159245989996,641.9546649,645.701151924796
"877",110788,2016,645.250427461728,649.284300342128,188.01530809559,0.0564648172828323,2.82790148700076,645.316213751947,649.27869148613
"878",110788,2017,648.981502096973,652.127681713901,191.728971901468,0.0521263150272741,3.27021713623692,649.1091912,652.126417417006
"879",110788,2018,652.188293022186,656.267807981389,177.909464022694,0.0746317064324179,1.56136477066932,652.223057035249,656.266729518926
"880",110788,2019,656.229439610277,658.931571340176,189.005756069185,0.0857195855387778,4.44090259018208,656.255714002228,658.931465548692
"881",90752,2011,484.608642084466,486.547992889953,182.923749603999,0.0423095859762075,1.78293191033926,484.7,486.535939413845
"882",90752,2012,486.034196788766,490.493232882405,181.413802683582,0.0364176700089372,3.48761434664408,486.335074173164,490.462361905887
"883",90752,2013,489.962463040568,495.859406415883,175.26698006366,0.0476700298217033,2.23756576625466,490.234522069804,495.853145216971
